# {"exp_name": "Flipfacedetect", "audio_controller": null, "response_device": null, "stim_rms": 0.01, "stim_fs": 48000, "stim_db": 65, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": null, "full_screen": true, "force_quit": ["4"], "participant": "023", "monitor": null, "trigger_controller": null, "session": "001", "check_rms": "windowed", "suppress_resamp": false, "version": "dev", "enable_video": true, "verbose": null, "date": "2019-04-10 11_56_07.497000", "file": "C:\\Users\\Maddox\\FlippyFace\\Final_Flipped_Detect.py", "version_used": "2.0.0.dev0"}
timestamp	event	value
4885.36418607	flip	4885.36418224
4885.3700701	flip	4885.37006601
4885.37693079	flip	4885.37692926
4885.38398207	flip	4885.383979
4885.39082488	flip	4885.39082284
4885.39775456	flip	4885.39775302
4885.40472255	flip	4885.40472127
4885.41164865	flip	4885.41164737
4885.41866825	flip	4885.4186662
4885.42559179	flip	4885.42559025
4885.43250869	flip	4885.43250639
4885.43946263	flip	4885.4394611
4885.44638438	flip	4885.44638285
4885.45335187	flip	4885.45335059
4885.46029406	flip	4885.46029253
4885.46725056	flip	4885.46724902
4885.47417972	flip	4885.47417844
4885.48114516	flip	4885.4811426
4885.48806895	flip	4885.48806768
4885.49500399	flip	4885.49500195
4885.50192064	flip	4885.50191936
4885.50891265	flip	4885.50891086
4885.51581192	flip	4885.51581064
4885.52275079	flip	4885.52274951
4885.52974586	flip	4885.52974407
4885.53667017	flip	4885.53666864
4885.54363842	flip	4885.54363714
4885.55056682	flip	4885.55056554
4885.55755269	flip	4885.55755141
4885.56451737	flip	4885.56451609
4885.57137321	flip	4885.57137142
4885.57838463	flip	4885.5783831
4885.58529182	flip	4885.58529055
4885.59220157	flip	4885.59219953
4885.59913584	flip	4885.59913456
4885.60611942	flip	4885.60611814
4885.6130611	flip	4885.61305982
4885.61998158	flip	4885.61997953
4885.62691125	flip	4885.62690972
4885.63388563	flip	4885.63388435
4885.6408268	flip	4885.64082552
4885.6477695	flip	4885.64776822
4885.6547145	flip	4885.65471323
4885.66166053	flip	4885.66165925
4885.66866812	flip	4885.66866607
4885.67558476	flip	4885.67558297
4885.68255046	flip	4885.68254918
4885.68947144	flip	4885.68947017
4885.69639754	flip	4885.69639601
4885.70333232	flip	4885.70333105
4885.71031207	flip	4885.71031079
4885.71721773	flip	4885.71721594
4885.72415353	flip	4885.72415226
4885.73113813	flip	4885.73113609
4885.73811149	flip	4885.73810996
4885.74502175	flip	4885.7450197
4885.75196752	flip	4885.75196624
4885.75887701	flip	4885.75887522
4885.76581767	flip	4885.76581639
4885.7727596	flip	4885.77275832
4885.77970562	flip	4885.77970435
4885.78665957	flip	4885.78665855
4885.79362807	flip	4885.79362577
4885.96731621	screen_text	You will now begin the training section. Press 1 to continue.
4885.96738826	flip	4885.9673134
4893.18795943	keypresses	1
4893.1889863	flip	4893.18898451
4893.2027828	screen_text	You will listen to a video of someone saying a sentence. They will say a sentence twice. The second time their voice will be modulated. Listen for this modulation. Press 1 to begin this section.
4893.20282853	flip	4893.20278076
4906.39768231	keypresses	1
4906.38233223	flip	4906.38233019
4906.38470761	trial_id	foo
4907.7654669	play	None
4907.76551544	flip	4907.7642552
4907.7781079	flip	4907.77810535
4907.79196776	flip	4907.79196495
4907.80588459	flip	4907.80588178
4907.81977153	flip	4907.81976897
