# {"exp_name": "Flipfacedetect", "audio_controller": null, "response_device": null, "stim_rms": 0.01, "stim_fs": 48000, "stim_db": 65, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": null, "full_screen": true, "force_quit": ["4"], "participant": "022", "monitor": null, "trigger_controller": null, "session": "001", "check_rms": "windowed", "suppress_resamp": false, "version": "dev", "enable_video": true, "verbose": null, "date": "2019-04-06 17_53_52.499000", "file": "C:\\Users\\Maddox\\FlippyFace\\Final_Flipped_Detect.py", "version_used": "2.0.0.dev0"}
timestamp	event	value
2983.83204334	flip	2983.832039
2983.83772841	flip	2983.83772611
2983.84465412	flip	2983.84465234
2983.85160896	flip	2983.85160615
2983.85854361	flip	2983.85854208
2983.86546319	flip	2983.86546166
2983.87241113	flip	2983.8724096
2983.87937619	flip	2983.87937465
2983.88630368	flip	2983.88630266
2983.89324166	flip	2983.89324038
2983.90018551	flip	2983.90018449
2983.90715031	flip	2983.90714903
2983.91408189	flip	2983.91408087
2983.92102345	flip	2983.92102217
2983.92796525	flip	2983.92796397
2983.93491983	flip	2983.93491855
2983.94186547	flip	2983.94186419
2983.94879552	flip	2983.94879425
2983.95575496	flip	2983.95575368
2983.96268425	flip	2983.96268297
2983.96965032	flip	2983.96964905
2983.97657297	flip	2983.97657195
2983.98356919	flip	2983.98356792
2983.99047038	flip	2983.9904691
2983.99740656	flip	2983.99740554
2984.00436498	flip	2984.00436344
2984.01129477	flip	2984.01129375
2984.01825293	flip	2984.01825191
2984.0251835	flip	2984.02518247
2984.03213731	flip	2984.03213603
2984.03907503	flip	2984.03907375
2984.04602859	flip	2984.04602757
2984.05296043	flip	2984.05295915
2984.05990505	flip	2984.05990377
2984.06685196	flip	2984.06685043
2984.07379402	flip	2984.07379275
2984.08073864	flip	2984.08073736
2984.08768147	flip	2984.08768045
2984.09462762	flip	2984.09462608
2984.1015707	flip	2984.10156942
2984.10852809	flip	2984.10852681
2984.11546556	flip	2984.11546428
2984.12240557	flip	2984.12240455
2984.12939567	flip	2984.12939362
2984.13632674	flip	2984.13632546
2984.14324785	flip	2984.14324607
2984.15020371	flip	2984.15020218
2984.15716366	flip	2984.15716187
2984.16409192	flip	2984.16409065
2984.17103347	flip	2984.17103169
2984.17800747	flip	2984.17800619
2984.18495592	flip	2984.1849549
2984.19188265	flip	2984.19188137
2984.19882574	flip	2984.19882446
2984.20573969	flip	2984.20573791
2984.21268176	flip	2984.21268048
2984.21962867	flip	2984.21962739
2984.22657968	flip	2984.22657865
2984.23352301	flip	2984.23352174
2984.24045562	flip	2984.2404546
2984.2474005	flip	2984.24739922
2984.25434664	flip	2984.25434537
2984.26128896	flip	2984.26128768
2984.4280152	screen_text	You will now begin the training section. Press 1 to continue.
2984.42807396	flip	2984.42801264
3006.09346738	keypresses	1
3006.08032807	flip	3006.08032629
3006.0942191	screen_text	You will listen to a video of someone saying a sentence. They will say a sentence twice. The second time their voice will be modulated. Listen for this modulation. Press 1 to begin this section.
3006.09427403	flip	3006.09421705
3016.58508466	keypresses	1
3016.56626473	flip	3016.56626319
3016.56867345	trial_id	foo
3017.95638269	play	None
3017.95642995	flip	3017.95515508
3017.96901416	flip	3017.96901161
3017.98289701	flip	3017.98289446
3017.99678573	flip	3017.99678318
3018.01064354	flip	3018.01064099
3018.02454529	flip	3018.02454197
3018.03841715	flip	3018.03841358
3018.05229898	flip	3018.05229617
3018.06618693	flip	3018.06618438
3018.08007846	flip	3018.08007617
3018.09396642	flip	3018.09396361
3018.10785489	flip	3018.10785182
3018.12174105	flip	3018.1217385
3018.13563259	flip	3018.13562978
3018.14951875	flip	3018.1495162
